DPR412_classification,construction_year,latitude,longitude,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max
4,1648,45.1367755,7.67024223,2617,0,520.4112,5127.17,512.03,184.6,2649.16,0.0,1791.85,464.43,0.3126,0.942,0.0079,220769.95,0.1367,0.01,1,402.3,2021,172.7684,260277.49,309063.62,4620.71203567,2,0.64354528,3.1329,63.5141,38.5097,3.2972,296.7841,8.101,5.1738374704607155,3.494,4655.148566674948,17.067666666666664,19.9525074,True,11.480839964366064
11,1943,45.05181072,7.28863705,2595,0,1423.6125,432.71,2345.4,6560.19,25340.54,8956.86,3540.41,564.81,1.2484,2.5375,0.2914,1603188.22,0.3484,144.0,31,16362.76,2019,230.2829,951054.41,935648.45,3836.42387808,2,0.64864665,0.0,0.0,47.9678,0.6072,1278.7397,0.0,10.804357465677496,1.732,38892.409041389285,78.18,117.06106437999999,True,5.497781815225721
11,1920,44.68762607,7.86679839,2749,0,795.8271,558.96,181.28,0.0,6883.12,0.0,463.26,289.19,0.7691,2.7459,0.6584,62993.5,0.3073,374.17,0,25.6,1998,438.6198,1082565.27,321953.75,0.0,2,0.64049724,0.0,0.0,170.8412,0.0,292.4517,1.4681,37.969549867608116,4.049,9683.472680610575,6.042666666666666,23.00760174,True,1.5644114878136661
13,1964,45.06675978,8.46789775,2617,,1201.6564,5459.89,1221.22,0.0,5351.96,0.0,1760.27,166.8,0.5414,3.2328,0.7159,437972.99,0.4212,73.99,0,138.21,1998,211.6476,189777.41,189390.13,805.57351047,0,0.70486939,0.0,0.0,39.6708,0.0,462.1763,8.1154,4.382469989027366,0.733,9790.337332447703,40.70733333333333,29.844824360000004,True,13.554000403590459
4,1559,44.32700882,7.68875362,3013,0,510.8952,1488.21,131.83,406.38,3416.17,961.31,375.8,103.55,0.7291,1.1222,0.0656,29657.75,0.594,10.42,1,146.2,2008,168.6027,42152.74,85508.41,0.0,0,0.30061417,0.0,0.0,62.528,0.0,294.4996,1.0798,25.913449139042704,3.847,4917.75437842488,4.394333333333334,7.803991800000001,True,2.292245994783632
12,2020,45.10186547,7.68283456,2617,0,251.2106,1038.36,250.28,305.42,1896.95,0.0,606.51,63.3,1.0683,2.4422,0.5116,61288.99,1.136,6.42,1,92.18,2023,143.7427,37034.7,37502.37,0.0,0,0.64443014,0.0,0.0,81.5294,0.0,221.7518,11.7297,7.579311171487934,1.042,3093.3078559950845,8.342666666666666,16.05051786,True,7.83712380400116
7,1977,45.77539782,8.88152778,2635,0,886.5915,1403.86,400.63,0.0,3512.82,0.0,2276.59,158.46,0.2777,4.7181,0.1975,393089.45,0.4347,98.48,1,89.91,2005,235.6611,340021.14,68786.57,6116.97880351,0,0.64200764,0.0,0.0,50.6205,0.0,161.4499,14.579,8.768240021965404,0.729,5576.5435572751985,13.354333333333333,27.59678338,True,6.774449587510888
13,1958,45.58670252,7.9474337,3283,,1263.4104,10109.4,2622.13,0.0,13357.98,0.0,10870.08,929.62,0.2045,1.1155,0.0264,604090.55,0.3632,0.69,5,1099.94,2014,228.3934,288782.88,502553.11,21769.86488356,2,0.53966596,0.0,0.0,49.0618,0.5645,536.5004,13.0131,5.0943240800417975,0.839,23497.04134433315,87.40433333333334,65.1984494,True,11.660035574241018
4,1982,45.07023382,8.42726217,2646,0,1360.7794,2307.52,136.81,0.0,1160.38,0.0,759.35,13.65,1.2002,2.5294,0.3358,101298.01,0.4607,12.82,1,1007.91,2012,187.2882,16038.18,25883.59,2841.72237797,0,2.9119117,0.0,0.0,0.0,0.0,297.6292,15.7546,8.481689934946276,1.01,1868.5097984870094,4.560333333333333,18.9179636,True,7.003321325772591
13,1982,44.70414674,7.74839169,2589,,925.3786,1398.16,738.82,0.0,13685.25,0.0,2718.71,96.19,1.134,5.9661,0.3491,350894.83,0.3383,39.2,0,839.13,2021,321.647,459141.34,477262.52,0.0,0,0.35587556,0.0,0.0,24.2587,0.0,163.4806,1.1365,18.523117944830947,2.008,19900.482377090306,24.627333333333336,73.13792598,True,3.2068035293472903
13,1970,45.50864781,7.71472064,2631,0,556.4097,2420.45,1531.38,1660.13,6853.68,8659.78,2298.36,862.81,1.5462,2.5135,0.5484,411300.27,0.3871,8.71,1,1612.26,2022,271.6156,1150556.78,1026011.69,9657.80022659,0,0.50107692,0.0,0.0,11.2633,0.0,554.3505,0.0,4.4754926928652585,2.467,12463.720896683246,51.04600000000001,114.44794334,True,13.272281752284904
4,1777,45.02401935,8.42376035,2617,4,430.8333,897.84,3086.48,2830.83,22401.92,604.81,6118.19,1760.31,1.014,5.2721,0.4792,1445067.01,0.3764,0.13,0,761.31,2000,184.303,533422.81,559317.42,2499.50749342,0,0.31613691,0.0,45.559,59.4842,1.2821,218.4736,0.0,7.258080402270547,0.983,36566.41114043161,102.88266666666667,309.68750022,True,8.183982087249666
4,1963,45.69119322,7.40814693,2887,,63.9958,1305.08,61.97,0.0,219.86,0.0,133.11,18.11,0.8294,1.2524,0.2979,8755.19,0.4323,0.1,1,23.6,2019,50.1365,10404.28,2153.54,1519.88242904,0,0.50038149,0.0,0.0,110.2775,0.0,230.2703,8.237,3.5478457318057126,0.693,437.8183433969675,2.0656666666666665,2.6616479600000003,True,16.742554352769943
4,1956,44.65536523,8.4118561,2570,0,325.4469,1031.43,317.41,286.76,1593.12,1688.5,971.3,117.81,1.7731,5.3418,0.0352,237925.01,0.5525,33.2,1,64.05,2020,147.867,65389.76,87285.33,0.0,0,0.30189863,0.0,0.0,32.3307,16.8799,374.5283,8.0197,5.019123531079676,1.86,2825.7087659420763,10.580333333333334,47.030589760000005,True,11.83473561313649
11,1165,44.7492726,8.42842316,2706,,3131.4854,3579.09,397.69,592.34,6357.23,0.0,2445.19,564.36,0.3311,4.0976,0.2172,1249670.09,0.5401,86.21,1,518.52,2020,277.1067,100005.2,102742.9,0.0,0,0.30076424,0.0,0.0,15.3241,0.0,274.2056,7.404,15.98539063089341,0.932,9384.383071117487,13.256333333333334,62.442478900000005,True,3.715892928209299
8,1960,44.94159546,8.33990076,2645,0,293.2857,939.07,245.53,334.05,1586.07,0.0,1038.14,34.18,0.7307,3.5056,0.0849,145337.87,0.587,6.77,0,45.0,2021,328.9889,32922.91,73486.76,0.00013087,0,3.46889246,0.0,0.0,81.6938,0.0,201.3268,44.3647,6.459780882173257,0.91,2665.16934264652,8.184333333333333,17.56780612,True,9.19535833853487
13,1968,45.44774711,7.85096553,2661,,642.6329,2063.91,114.9,0.0,3781.0,0.0,1557.74,261.93,0.5854,2.1933,0.0792,276552.19,0.3376,0.02,1,175.86,2012,388.1563,289353.85,167369.18,19273.890101,0,0.85077384,0.0,0.0,64.6598,0.0,271.9515,8.215,32.90687554395126,3.753,5388.558611127978,3.83,29.7278413,True,1.8050938905051577
13,1932,45.06591789,8.25372102,2909,2,192.6297,4503.45,367.11,0.0,13067.71,0.0,6166.81,507.44,1.0663,1.4118,0.1633,604456.4,0.3457,97.34,1,641.97,2017,329.0569,243805.15,406193.39,0.0,0,0.77782738,0.0,0.0,6.3367,1.9384,223.6636,1.47,35.596170085260546,3.363,18324.383936612372,12.237,145.8414659,True,1.6687188497449057
5,1860,45.31490991,8.62003523,2541,,1507.4617,1979.11,212.72,485.64,6709.34,6021.04,781.94,117.46,0.9911,0.8449,0.5524,3806638.13,0.2088,106.36,19,155.29,2000,350.4787,169843.53,72925.81,0.0,0,0.75350284,0.0,22.309,115.9317,0.0,1048.316,3.8828,31.540710793531403,0.978,9500.477636256563,7.0906666666666665,17.48445376,True,1.8832803226546873
13,1960,45.05807835,7.64243633,2815,1,703.1793,6150.42,3223.67,13209.65,9930.1,0.0,5911.01,438.41,0.8225,1.6618,0.2151,856436.78,0.4027,69.93,19,291.39,2022,139.0607,363444.66,361784.08,0.0,0,0.64022547,0.0,0.0,23.9427,0.0,335.9983,0.3638,3.080371129799266,0.807,20221.49793509482,107.45566666666667,111.80710926,True,19.28339070099999
13,1880,45.3618938,7.16966195,2639,0,6467.6641,7260.59,7353.43,5876.35,33891.91,17231.65,556.56,1396.59,1.0368,1.8385,0.0603,3964947.34,0.6381,97.27,1,946.69,2018,57.3476,1226620.36,1110534.06,57842.76811793,0,1.28032932,0.0,0.0,52.6063,0.0,291.3911,0.4735,4.608993354121818,2.633,61106.9703133957,245.11433333333335,62.893442459999996,True,12.887846745727815
8,1998,45.06340687,7.9610024,2664,0,137.4666,633.86,128.23,440.81,707.36,637.86,575.83,19.77,1.5599,2.6566,0.3884,47567.76,0.5992,31.74,7,32.08,2021,48.9861,21652.07,23192.5,4475.92992346,3,0.45705247,0.0,59.236,0.0,0.0,82.2035,0.0,5.516337830460891,3.692,1237.03033132084,4.274333333333333,19.01516398,True,10.768013458493552
10,1926,45.65257053,7.68161572,2617,0,934.6409,2176.01,697.47,531.54,3579.48,2259.47,1981.98,93.74,0.8889,3.2629,0.1643,333662.1,0.442,225.74,1,10400.12,2007,293.186,104932.96,237385.1,7042.38602862,2,0.30138222,0.0,0.0,177.9179,2.5115,447.0735,25.3993,5.132091702868941,1.161,6296.517903015584,23.249000000000002,41.35292536,True,11.574228100170975
13,1980,45.41629275,8.46195563,2709,,714.9133,3141.37,725.79,731.83,3015.89,6381.74,1217.22,87.19,0.3886,2.7502,0.0362,86472.26,0.4848,10.67,1,93.26,2019,140.1239,208015.69,136152.27,0.0,0,1.01211785,0.0,0.0,63.5681,0.0,523.445,0.0,4.155320409484837,1.339,5603.384488360237,24.192999999999998,14.256032600000001,True,14.294926539097911
4,1999,45.09838719,8.50403187,2624,,86.5484,867.9,112.58,387.51,2705.82,311.33,485.35,92.42,1.3334,3.8916,0.4437,281786.84,0.4952,42.82,1,109.07,2016,200.9042,73178.92,23150.39,0.0,0,0.4338036,0.0,0.0,53.8325,0.0,289.5016,10.7509,24.034642032332567,1.024,3923.350902841184,3.752666666666667,20.13654724,True,2.4714326895358893
4,1969,44.99462273,0.88580001,2616,,103.9357,388.16,100.06,0.0,380.6,0.0,243.54,40.32,1.5477,1.3593,0.1843,87629.85,0.9188,0.0,1,30.16,2016,167.8536,35955.7,29412.47,1493.62078087,0,0.50033993,0.0,0.0,6.6379,0.0,215.9603,2.8329,3.8037177693383972,1.751,735.2866571839842,3.3353333333333333,8.63467668,True,15.616300578034682
13,1991,44.60306353,7.96171015,3005,0,529.2049,126.58,547.53,0.0,2232.68,0.0,590.06,98.99,0.7413,2.9291,0.1926,124964.3,0.4894,12.69,1,295.84,2000,224.6608,201871.96,102831.28,1719.23386687,0,0.48841218,0.0,0.0,0.0,0.0,279.903,0.0376,4.077730900589922,0.836,4173.332650066111,18.250999999999998,14.547261739999998,True,14.566924951179749
4,1980,44.38439874,8.71616074,2633,1,434.2405,7662.69,165.49,0.0,982.86,0.0,565.3,100.12,1.0388,5.3685,0.1126,53966.48,1.2275,2.47,0,24.12,2001,198.9503,24125.17,23764.61,0.01810552,0,0.46653847,0.0,0.0,60.8895,0.0,760.5542,8.3194,5.939089975225089,0.722,1686.2175024838148,5.516333333333334,22.4945572,True,10.00153226298761
13,1970,44.57224272,7.72814798,2583,,2498.6306,10888.24,7768.54,230.94,118574.72,9821.36,4771.35,957.21,0.3375,3.4155,0.2306,682766.63,0.4407,1405.43,1,638.39,2017,166.0222,807818.75,3152724.28,0.0,2,0.64792055,65.4718,6.6841,48.7114,0.5721,331.7318,0.9913,15.2634497601866,2.444,174947.14306245887,258.9513333333333,97.59362760000002,True,3.8916497209523246
13,1950,44.76380099,7.53069693,2850,0,298.0559,1340.06,497.37,161.24,2138.92,2371.0,778.64,73.25,0.8082,3.9029,0.054,59755.45,0.6147,3.17,4,61.28,2021,197.8092,152232.97,98102.34,1695.57588267,0,0.96718777,0.0,54.1419,15.7774,0.0,322.1188,1.5826,4.300460421818767,0.997,3940.5019239011153,16.579,18.30368546,True,13.81247451985114
13,1983,45.44419576,7.68566375,2650,0,357.5905,5632.6,1950.97,315.98,6481.33,9097.61,4396.88,674.19,0.9633,1.9181,0.4028,1182481.36,0.373,51.17,1,1010.98,2023,173.5995,542900.11,693822.07,7544.75808895,1,1.28857979,10.5834,31.4661,24.9721,1.4608,261.8141,0.7368,3.322106439360933,2.049,12871.279420093277,65.03233333333334,110.57356686,True,17.880221806326787
13,1935,44.38081751,7.09132845,2656,,238.8377,1179.06,312.29,0.0,3816.56,0.0,1702.6,206.89,0.7153,2.0163,0.0662,495441.15,0.4963,65.85,1,107.46,2022,124.2658,182156.2,140067.8,0.0,0,0.64260301,0.0,0.0,16.3309,0.0,112.832,0.0,12.221204649524479,3.609,5800.828187591984,10.409666666666668,32.70044174,True,4.860404657597418
13,1965,45.06441878,7.28589695,2575,,520.2263,1156.94,515.98,0.0,7727.95,0.0,585.7,207.24,1.1797,2.8002,0.1556,245874.9,0.4799,30.51,1,50.06,2007,237.5039,64628.78,176053.92,335.85404549,0,1.2513924,0.0,0.0,100.5703,0.0,606.238,6.5608,14.977227799527112,1.437,11464.82176091796,17.199333333333335,25.42527476,True,3.966021001688676
4,1988,45.45418135,7.72993212,2578,0,596.0658,610.15,81.91,0.0,796.07,0.0,116.41,43.62,0.9483,5.2177,0.0115,79907.84,0.5736,14.04,0,119.1,2001,290.9243,7103.36,35918.01,0.0,0,0.39099609,0.0,0.0,17.8412,0.0,118.6958,0.0,9.718837748748628,1.507,1267.7373659594243,2.7303333333333333,6.759753539999999,True,6.111841923448942
13,1912,44.61217181,36.65237706,2553,0,4343.5494,613.14,659.98,0.0,6929.58,0.0,2152.97,83.76,1.3161,4.9605,0.2311,95229.46,0.7071,54.06,1,247.71,2004,58.1568,182901.35,109445.06,4129.76622979,0,0.95607805,0.0,0.0,59.2362,0.0,604.1835,7.4602,10.499681808539652,2.851,10698.33765007678,21.999333333333333,64.98030594,True,5.657314296104527
5,1941,45.24456252,7.55200117,3012,0,7778.3505,4132.08,2264.27,1945.26,10993.07,362.75,988.56,442.6,0.3923,0.9364,0.5436,184556.57,0.4033,0.05,0,243.26,1998,172.2223,204241.99,590847.54,0.03623079,0,0.50166087,0.0,62.239,113.9046,1.7391,302.5234,5.0789,4.855017290340816,1.515,19569.133811560943,75.47566666666667,16.045254559999997,True,12.234765902518587
13,1949,45.37643378,7.64245265,2546,1,893.1577,5128.44,1070.48,0.0,15191.52,0.0,6840.21,535.52,1.0747,4.4116,0.0362,1175245.2,0.493,473.55,1,539.2,2014,270.4077,1925708.03,1004787.57,4462.89579198,2,0.88363155,0.0,0.0,7.6284,0.7107,106.6215,0.0,14.19131604513863,3.471,22613.158134181926,35.68266666666667,194.27347437999998,True,4.185658314638693
8,1963,45.63081487,7.7010027,2693,0,181.1329,766.8,172.47,0.0,962.79,0.0,337.01,24.4,1.3105,3.9696,0.6087,36308.3,0.6644,0.09,2,464.78,2003,388.9418,96293.72,40287.2,5365.90424244,1,0.50118117,17.6801,0.0,81.6874,0.0,523.4018,366.6842,5.58236214993912,0.601,1673.4835980777243,5.749,10.770196899999998,True,10.640656841055682
13,1957,47.2956,7.92229099,2746,0,87.1807,1819.42,457.8,0.0,4605.04,0.0,1377.96,222.27,0.4997,2.6728,0.0483,264802.62,0.6104,84.19,1,105.41,2021,201.8591,181832.41,161060.58,4207.37423632,0,0.71822697,0.0,0.0,44.1241,0.0,433.8767,13.7943,10.05906509392748,1.743,7160.356110010465,15.26,25.65299736,True,5.905121345308619
4,2001,44.85703318,8.57640188,2517,1,506.6549,170.55,203.14,0.0,1584.03,0.0,1138.23,45.43,1.2578,2.3039,0.7365,0.0,0.8881,0.11,1,112.58,2013,237.4093,79250.47,66357.78,261.66652063,0,0.83316907,0.0,0.0,18.5649,0.0,320.3863,4.0086,7.7977257064093735,1.376,2574.7824794448093,6.771333333333333,30.726637420000003,True,7.617605727164258
13,1938,45.93332992,8.43912554,2706,0,62.6728,697.64,554.28,0.0,2970.01,0.0,2960.79,176.46,1.756,3.1007,0.0906,436878.64,0.5479,0.04,1,185.41,2016,222.8971,143830.4,148967.5,0.0,0,3.95825529,0.0,0.0,19.3225,5.3361,297.3532,8.2208,5.358320704337158,1.206,5174.879923353322,18.476,114.92593523999999,True,11.085562674873147
6,1970,45.70791146,7.67481632,2770,,240.0887,3443.07,236.97,0.0,1940.63,0.0,387.37,137.74,1.1277,2.7027,0.605,52716.06,0.582,52.79,1,24.16,2017,141.0639,49666.38,115622.38,1274.0778548,1,2.15114173,9.5672,0.0,73.5932,0.0,354.2873,4.7628,8.18934886272524,3.459,3124.591224882749,7.899,16.18214094,True,7.253323920582491
4,2013,45.55336393,7.54181671,2709,1,79.1551,4596.86,5157.88,146.52,23235.02,0.0,11016.43,408.28,1.0504,3.3968,0.1856,7807859.27,0.384,280.32,1,606.14,2014,201.4721,1712760.39,681717.41,4045.50426781,1,0.43486673,8.9456,193.3791,0.0,1.2432,301.9958,3.3288,4.504761646257765,0.656,42148.95583532637,171.92933333333335,259.17007152,True,13.186047268304481
4,1985,45.05384577,7.48081155,2955,0,1056.0397,2245.81,71.66,0.0,1044.1,0.0,1006.28,65.36,0.6174,2.7964,0.2791,79969.75,0.5612,18.0,31,834.55,2016,85.0524,10699.05,12870.07,12749.16972796,0,0.64378057,0.0,0.0,168.7843,0.0,177.6436,8.3647,14.570192576053586,2.112,1590.829492456843,2.3886666666666665,16.08099952,True,4.07681639689685
7,1901,44.6854707,7.83449429,2664,0,301.4548,687.28,309.82,0.0,1122.11,0.0,723.52,56.17,1.1953,4.8589,0.266,118859.0,0.7355,0.0,9,61.54,2016,263.6837,54319.75,52459.81,356.35647472,2,1.89802459,10.404,0.0,43.5622,0.0,710.4364,192.0822,3.62181266541863,0.642,2177.0879186164107,10.327333333333334,22.75495738,True,16.400627389471623
13,1967,45.18205063,7.84716018,2619,0,1030.2053,2671.59,367.05,0.0,1200.32,0.0,558.2,41.59,1.2556,3.8178,0.027,108890.23,0.4138,0.04,1,64.94,2022,72.2719,47115.94,21549.26,523.72842004,0,0.50217158,0.0,0.0,37.0483,0.0,259.4805,22.1426,3.2701811742269444,0.812,2404.0895357707427,12.235000000000001,17.19316444,True,18.164131231671558
7,1981,45.09647595,7.68029392,2617,0,386.7485,10853.15,295.03,315.79,1264.52,435.21,1035.8,83.86,0.6729,3.7903,0.4072,1478267.83,0.5283,0.03,4,27.94,2018,120.1707,31452.19,30402.67,451.6124527,0,0.52843675,0.0,36.5015,71.2794,0.0,257.152,0.0,4.286072602786158,0.858,2336.973024009909,9.834333333333332,20.29688756,True,13.858841299465409
13,1958,45.04293355,8.22401056,2591,0,102.8498,1029.77,169.66,0.0,3958.97,0.0,667.51,52.38,0.3323,2.563,0.0552,318939.23,2.1891,0.09,1,344.17,2004,54.8826,64557.58,175475.29,0.0,0,1.53601092,0.0,0.0,0.0,0.0,121.7718,0.0,23.33472828008959,18.845,5715.569921274377,5.655333333333333,7.12127026,True,2.5455621032743365
13,1965,45.92596751,7.67441098,2426,,1126.9409,10145.61,1622.64,800.53,6932.68,6000.08,7652.57,400.36,0.5279,1.3924,0.039,1057836.45,0.2474,265.28,5,225.84,2022,173.2193,203479.78,488081.72,0.0,0,0.64004957,0.0,1.2907,34.2079,68.3367,106.5593,1.3269,4.272469555785634,1.736,12765.821439675108,54.088,91.94505934,True,13.902966241049638
13,1970,45.13674812,8.33704974,2941,0,1298.3877,3627.2,869.87,3762.83,14606.42,16479.61,2484.06,390.17,1.174,1.3283,0.303,411192.37,0.3538,78.49,0,289.2,2021,448.2303,413236.02,403127.15,15430.82313178,1,0.48041435,0.0,0.0,17.4153,0.6891,201.1976,32.6776,16.791497580098177,1.034,21406.947903593005,28.99566666666667,68.69098502,True,3.5375046041398237
6,1931,44.75279891,7.57853123,2426,0,110.14,1262.32,106.2,809.84,2789.8,2844.45,940.95,38.61,1.0284,2.3578,0.1605,114401.36,0.6106,8.34,4,41.54,2015,35.5335,49059.21,28241.7,0.0,0,0.30234655,0.0,0.0,11.9846,0.0,113.5328,11.282,26.26930320150659,7.484,4028.229615030876,3.54,21.174152760000002,True,2.2611943508495234
13,1982,45.10258969,7.63624645,2426,,3030.6875,6306.73,2950.03,0.0,9087.42,0.0,5032.83,529.52,0.7733,5.3474,0.1569,546562.04,0.5682,0.01,19,271.28,2012,55.3257,529733.62,502450.6,2217.17229905,2,1.58173409,4.1008,0.0,1.9106,1.2771,163.1211,3.9153,3.0804500293217356,3.079,18506.098791948432,98.33433333333333,134.46885374000001,True,19.282896795790226
4,1903,45.45629217,7.87690228,2953,,80.5128,2569.49,79.77,906.34,7780.74,6947.81,631.61,64.31,0.9892,2.7383,0.1936,292968.11,0.6532,23.65,1,734.96,2015,67.8367,648375.3,14475.94,142.43481068,0,0.44446285,0.0,23.9505,37.3313,0.0,292.2267,2.9129,97.53967657013915,2.675,10839.464843663907,2.659,16.0177737,True,0.608982950207821
4,1969,45.44607036,7.64404674,2617,1,1802.7929,6739.44,1645.66,1648.02,11237.27,1512.25,847.01,450.73,0.9032,2.433,0.0446,387019.81,0.1514,0.06,0,1685.57,2011,13.8187,91443.08,350337.71,30118.50875602,0,1.15878314,0.0,66.3879,68.0869,1.8798,491.1952,3.3229,6.828427500212681,15.406,18562.730088702192,54.855333333333334,37.23291043999999,True,8.698928120442066
13,1889,45.41643874,8.47516277,2470,,4606.9482,2364.03,847.78,0.0,4229.71,0.0,1003.79,630.96,0.3487,2.9373,0.578,368994.78,0.4114,105.44,0,365.97,2006,168.3213,161785.76,250218.32,0.0,0,0.40264358,0.0,0.0,71.9083,0.0,265.5709,30.8322,4.989159923565076,1.753,7488.151510778446,28.259333333333334,44.06680762,True,11.905811982381772
13,1988,45.93409049,7.53566824,2584,,457.027,2084.48,446.42,276.68,1825.16,0.0,955.16,98.51,0.5526,6.1195,0.3142,301610.27,0.4598,33.45,1,29.4,2005,235.5784,67736.9,332006.62,0.0,0,1.28673303,0.0,0.0,41.3468,0.0,343.5807,20.2717,4.088436897988442,3.157,3411.3250006164462,14.880666666666666,22.613067220000005,True,14.528779942580377
8,2000,44.61322759,7.67076998,2617,,4904.9154,135.09,3051.83,0.0,9917.03,0.0,3249.32,578.9,1.3465,4.0152,0.287,790246.38,0.4183,178.97,19,2266.6,2017,262.8167,1260071.09,528169.07,0.0,2,1.60280444,1.1649,0.0,88.61,1.19,284.6263,349.2657,3.2495355245868875,0.659,19832.92480812415,101.72766666666666,133.9921732,True,18.27953550609406
13,1956,44.91969497,7.62057433,2617,0,4509.4073,2799.36,2261.88,8702.21,14980.9,7410.64,7808.97,1944.55,1.1802,3.2467,0.0599,552652.09,1.4862,153.49,19,1163.9,1997,141.7903,1309993.93,1356169.69,42110.02916384,0,1.79126201,0.0,1.3775,17.0935,0.3395,372.2198,0.8269,6.623207243531929,4.229,24886.375978319742,75.396,310.59033758,True,8.968464644981278
13,1950,45.07071057,8.61628363,2465,3,403.1243,286.06,10855.26,8260.56,58767.83,39319.95,20783.89,2242.86,1.1579,5.0382,0.1408,6329438.17,0.231,456.17,19,2094.81,2012,158.116,1832830.49,1862492.57,37182.58153861,2,5.51773511,136.9041,9.6025,41.6784,13.4937,503.5804,2.6708,5.4137653082468775,1.085,101851.0033114286,361.842,707.3128696599999,True,10.972030854295625
13,1985,44.92911364,7.52694698,2830,1,768.0024,2668.19,756.58,0.0,20232.94,0.0,834.3,33.96,0.9149,2.2961,0.26,124468.86,0.3762,0.04,1,31.86,2019,178.0364,45397.35,81874.93,2271.35938512,0,1.07992794,0.0,0.0,0.0,0.0,375.5029,34.8065,26.742631314599908,0.608,28693.805413323647,25.219333333333335,16.82553252,True,2.2211726026963956
5,2022,44.39698216,8.75706406,2716,,2576.846,2318.2,2495.52,2660.24,16348.39,16236.93,6457.33,781.08,0.7928,4.2287,0.2272,1271902.79,0.3003,209.61,31,1120.69,2022,265.5209,717206.15,739736.28,0.0,0,0.64507606,0.0,0.0,121.1903,6.6939,345.1784,24.7502,6.551095563249342,1.116,27214.794061883546,83.184,168.44648439999995,True,9.067185698408224
13,1972,45.0743683,7.38913782,2646,0,243.3573,903.77,244.2,0.0,944.59,0.0,679.4,39.47,1.1067,3.2469,0.0927,1927991.3,0.546,49.38,1,455.64,2020,271.6372,65847.56,393417.72,678.70469355,0,0.64017429,0.0,0.0,52.4895,1.2632,263.1067,0.0,3.8680999180999183,5.931,1799.2111214597262,8.139999999999999,17.600942460000002,True,15.35637684074572
13,1983,45.13950482,7.69813199,3093,0,3993.727,2461.49,2971.07,0.0,21973.17,0.0,4137.06,491.35,0.5555,1.2919,0.2763,1272664.19,0.5248,40.7,0,651.42,2008,181.3529,582762.47,574796.68,0.0,2,1.1365602,159.5466,0.0,38.168,2.3328,259.4957,0.7435,7.395709289919119,1.067,35745.54968600929,99.03566666666667,58.65823790000001,True,8.031684003719082
13,1985,45.3588893,8.55622254,2470,3,6381.9813,6113.96,3177.84,0.0,16509.74,0.0,5813.11,352.2,0.5453,4.4029,0.3342,1485824.9,0.3856,351.02,1,589.35,2017,223.1433,646415.67,604102.07,15009.95997443,2,1.94528766,148.1239,0.0,29.8451,0.6124,229.3368,0.6216,5.19527100168668,0.852,28901.5752703694,105.92800000000001,94.41180526,True,11.43347478518741
5,1970,0.0,0.0,2518,,3133.3956,5092.0,2505.98,19283.17,47287.91,60022.78,7412.57,1209.78,1.1001,2.4136,0.2254,1702765.29,0.3571,527.91,1,1340.37,2017,279.3438,1159299.51,1134966.57,0.0,2,0.64382135,1.4223,0.0,125.6317,0.5333,546.9835,0.4599,18.870026895665568,1.621,68527.0669799118,83.53266666666667,221.4898653,True,3.147849249417029
4,1950,44.89792035,8.52744932,2732,2,946.6733,1203.32,862.79,0.0,3382.97,0.0,3680.69,569.9,0.5755,1.7936,0.233,1471851.39,0.3453,0.07,1,116.5,2022,267.1691,148322.66,140683.25,0.0,0,0.48135777,0.0,0.0,32.3895,0.0,226.092,8.6552,3.920965704284936,0.61,6388.423749826033,28.759666666666664,62.80819470000001,True,15.149329139779544
13,1904,45.12690871,7.50330668,2645,0,1011.0657,3490.38,637.63,0.0,1863.93,0.0,974.83,65.89,0.4495,1.2855,0.0092,257542.0,0.5425,36.54,0,31.98,2001,249.4875,106483.44,100699.22,807.6954509,0,0.8519073,0.0,0.0,54.4898,0.0,208.2443,0.0,2.9232156579834703,0.633,3873.0698795320905,21.25433333333333,10.4577536,True,20.320088200737153
13,1994,45.38987289,7.62822397,3124,0,1156.3573,827.17,850.75,0.0,3395.66,0.0,1800.81,264.09,1.2339,3.6878,0.1849,249931.76,0.7291,57.51,0,290.89,1997,227.1729,124043.61,123692.22,10309.4475107,0,0.49588928,0.0,0.0,131.2935,0.0,320.5889,1.3999,3.9913723185424623,0.64,6379.514969668805,28.358333333333334,63.91861122000001,True,14.882099503483861
13,1941,44.89223425,7.34942568,3147,0,338.519,1607.53,350.4,0.0,2315.79,0.0,1281.02,133.84,1.5978,2.1394,0.3278,117254.45,0.4326,6.47,1,174.55,2015,224.2648,68068.77,133747.98,0.0,0,0.30175029,0.0,0.0,51.5963,0.0,286.8618,1.6043,6.6089897260273975,1.702,3865.3888296431987,11.68,46.663021040000004,True,8.987757957327737
